time,lat,lon,z,mag
08.05.2012 15:51:55,40.4938,30.3148,11.2,1.6
09.05.2012 07:21:37,40.6633,30.5393,9.4,1.1
09.05.2012 12:37:56,40.0703,29.7972,4.4,2.2
09.05.2012 15:38:32,40.6647,30.1655,4.9,0.6
